Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,mother_edu,bw_less_25,bw_equal_25,WMWEIGHT
Total,2000,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Higher,0,0,1.487502123125587
Total,2000,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Higher,0,0,1.487502123125587
Total,2000,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Higher,0,0,1.6289948178956155
Total,2000,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.487502123125587
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.487502123125587
Total,2000,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.487502123125587
Total,2000,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Higher,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.487502123125587
Total,2000,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.487502123125587
Total,2000,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.487502123125587
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,1,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,1,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Poorest,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: Secondary,1,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,1,1.6289948178956155
Total,2000,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Middle,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,1,1.6289948178956155
Total,2000,Rural,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Higher,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.6289948178956155
Total,2000,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.487502123125587
Total,2000,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.487502123125587
Total,2000,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.487502123125587
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,1,1.6289948178956155
Total,2000,Rural,Red River Delta,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: Secondary,0,1,1.6289948178956155
Total,2000,Rural,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.6289948178956155
Total,2000,Rural,DB,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,Mong,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
Total,2000,Rural,DB,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.1885121920277593
