MEMID,ed3a
101051319001001,Higher
101051319001002,Higher
101051319001003,Higher
101051319001004,Higher
101051319001005,Higher
101051319001006,Higher
101051319001007,
101051319001008,Primary
101051319002001,Higher
101051319002002,Higher
101051319002003,Long apprentice
101051319003001,Long apprentice
101051319003002,Long apprentice
101051319003003,Lower secondary
101051319004001,Secondary
101051319004002,Secondary
101051319004003,Lower secondary
101051319004004,Primary
101051319005001,Lower secondary
101051319009001,Higher
101051319009002,Higher
101051319009003,Lower secondary
101051319009004,Higher
101051319010001,Lower secondary
101051319010002,Lower secondary
101051319010003,Lower secondary
101051319014001,Long apprentice
101051319014002,Long apprentice
101051319014003,Secondary
101051319014004,Secondary
101051319015001,Lower secondary
101051319015002,Higher
101051319015003,Lower secondary
101051319015004,Primary
101051319016001,Higher
101051319016002,Higher
101051319016003,
101051319016004,
101051319018001,Lower secondary
101051319018002,Primary
101051319018003,Higher
101051319019001,Long apprentice
101051319019002,Higher
101051319019003,Lower secondary
101051319020001,Secondary
101051319020002,Secondary
101051319020003,Lower secondary
101051319022001,Higher
101051319022002,Higher
101051319022003,Secondary
101051319023001,Secondary
101051319023002,Secondary
101051319023003,Lower secondary
101051319023004,Preschool/kindergarten
101051319024001,Primary
101051319024002,Primary
101051319025001,Long apprentice
101051319025002,Higher
101051319025003,Lower secondary
101051319025004,Primary
101051319025005,Higher
101051319025006,Secondary
101051319028001,Primary
101051319028002,Primary
101051319029001,Long apprentice
101051319029002,Secondary
101051319029003,Higher
101051319029004,Secondary
101051319031001,Lower secondary
101051319031002,Lower secondary
101051319031003,Secondary
101051319031004,Secondary
101051319032001,Higher
101051319032002,Higher
101051319032003,Higher
101051319032004,Higher
101051319033001,Secondary
101051319033002,Higher
101051319033003,
101051319062001,Higher
101051319062002,Higher
101051319062003,Higher
101051319062004,Secondary
101051319064001,Higher
101051319064002,Higher
101051319064003,
101051319064004,Higher
101051319067001,Higher
101051319067002,Higher
101051319067003,
101051319067004,Lower secondary
101051319068001,Lower secondary
101051319068002,Secondary
101051319068003,Secondary
101051319068004,Lower secondary
101051319073001,Secondary
101051319073002,Secondary
101051319073003,Lower secondary
101051319073004,Lower secondary
101051319073005,Lower secondary
101051319073006,
101051319073007,
101051319074001,Primary
101051319074002,Lower secondary
101051319074003,Secondary
101051319074004,Higher
101051319074005,
101051319075001,Primary
101051319075002,Secondary
101051319075003,Secondary
101051319075004,Preschool/kindergarten
101051319077001,Higher
101051319077002,Secondary
101051319077003,Lower secondary
101051319077004,Lower secondary
101051319079001,Higher
101051319079002,Secondary
101051319079003,Secondary
101051319079004,Lower secondary
101051319080001,Long apprentice
101051319080002,Secondary
101051319080003,Secondary
101051319080004,Primary
101051319083001,Lower secondary
101051319083002,Primary
101051319085001,Secondary
101051319085002,Lower secondary
101051319088001,Lower secondary
101051319088002,Lower secondary
101051319088003,Secondary
101090909001001,Long apprentice
101090909001002,Lower secondary
101090909001003,Higher
101090909001004,Higher
