HHID,elderly_hoh,sex_hoh
001001,Elderly HoH: YES,Female
001002,Elderly HoH: YES,Male
001003,Elderly HoH: NO,Male
001004,Elderly HoH: YES,Male
001005,Elderly HoH: NO,Male
001006,Elderly HoH: YES,Male
001007,Elderly HoH: NO,Male
001008,Elderly HoH: YES,Female
001009,Elderly HoH: YES,Female
001010,Elderly HoH: NO,Male
001011,Elderly HoH: NO,Female
001012,Elderly HoH: YES,Female
001013,Elderly HoH: NO,Female
001014,Elderly HoH: YES,Male
001015,Elderly HoH: YES,Female
001016,Elderly HoH: YES,Male
001017,Elderly HoH: NO,Male
001018,Elderly HoH: YES,Female
002001,Elderly HoH: YES,Male
002002,Elderly HoH: NO,Male
002003,Elderly HoH: NO,Male
002004,Elderly HoH: NO,Female
002005,Elderly HoH: NO,Male
002006,Elderly HoH: NO,Male
002007,Elderly HoH: NO,Female
002008,Elderly HoH: NO,Male
002009,Elderly HoH: NO,Male
002010,Elderly HoH: NO,Male
002011,Elderly HoH: YES,Female
002012,Elderly HoH: NO,Male
002013,Elderly HoH: YES,Male
002014,Elderly HoH: NO,Female
002015,Elderly HoH: NO,Male
002016,Elderly HoH: YES,Female
002017,Elderly HoH: YES,Female
002018,Elderly HoH: NO,Female
002019,Elderly HoH: NO,Male
003001,Elderly HoH: YES,Male
003002,Elderly HoH: NO,Male
003003,Elderly HoH: NO,Male
003004,Elderly HoH: YES,Female
003005,Elderly HoH: YES,Male
003006,Elderly HoH: NO,Male
003007,Elderly HoH: NO,Male
003008,Elderly HoH: YES,Male
003009,Elderly HoH: YES,Female
003010,Elderly HoH: NO,Female
003011,Elderly HoH: YES,Male
003012,Elderly HoH: NO,Male
003013,Elderly HoH: YES,Male
003014,Elderly HoH: NO,Male
003015,Elderly HoH: NO,Male
003016,Elderly HoH: YES,Male
003017,Elderly HoH: NO,Male
003018,Elderly HoH: NO,Male
003019,Elderly HoH: NO,Male
003020,Elderly HoH: YES,Male
004001,Elderly HoH: YES,Male
004002,Elderly HoH: NO,Male
004003,Elderly HoH: NO,Female
004004,Elderly HoH: YES,Female
004005,Elderly HoH: NO,Female
004006,Elderly HoH: NO,Female
004007,Elderly HoH: NO,Female
004008,Elderly HoH: NO,Female
004009,Elderly HoH: NO,Male
004010,Elderly HoH: NO,Female
004011,Elderly HoH: NO,Female
004012,Elderly HoH: NO,Female
004013,Elderly HoH: NO,Female
004014,Elderly HoH: NO,Female
