MEMID,ED4A
001001001,Primary
001001002,Upper Secondary
001001003,Upper Secondary
001001004,Primary
001001005,
001001006,Lower Secondary
001002001,College/University and above
001002002,College/University and above
001002003,Professional School
001003001,College/University and above
001003002,College/University and above
001003003,Lower Secondary
001003004,Upper Secondary
001003005,Lower Secondary
001004001,College/University and above
001004002,College/University and above
001005001,College/University and above
001005002,Upper Secondary
001005003,College/University and above
001005004,Upper Secondary
001005005,Lower Secondary
001006001,College/University and above
001006002,College/University and above
001007001,Upper Secondary
001007002,College/University and above
001007003,College/University and above
001007004,Lower Secondary
001008001,Primary
001008002,College/University and above
001008003,College/University and above
001008004,College/University and above
001009001,College/University and above
001009002,College/University and above
001009003,Upper Secondary
001009004,Upper Secondary
001009005,Upper Secondary
001009006,Primary
001010001,Upper Secondary
001010002,Upper Secondary
001010003,Primary
001010004,
001011001,Lower Secondary
001011002,Lower Secondary
001011003,Lower Secondary
001012001,Professional School
001012002,College/University and above
001012003,College/University and above
001012004,College/University and above
001012005,Lower Secondary
001012006,Lower Secondary
001013001,Primary
001013002,Lower Secondary
001013003,Lower Secondary
001013004,Upper Secondary
001013005,College/University and above
001013006,Upper Secondary
001014001,Upper Secondary
001014002,Upper Secondary
001014003,College/University and above
001014004,Upper Secondary
001014005,Primary
001014006,
001015001,Primary
001015002,College/University and above
001015003,College/University and above
001015004,College/University and above
001015005,College/University and above
001016001,Professional School
001016002,Professional School
001016003,Professional School
001017001,College/University and above
001017002,College/University and above
001017003,College/University and above
001017004,College/University and above
001017005,Lower Secondary
001018001,College/University and above
001018002,College/University and above
001018003,College/University and above
001018004,Lower Secondary
001018005,Preschool
002001001,Upper Secondary
002001002,Lower Secondary
002001003,Lower Secondary
002001004,Professional School
002001005,Primary
002001006,
002002001,Upper Secondary
002002002,Upper Secondary
002002003,Upper Secondary
002002004,Primary
002002005,
002003001,Professional School
002003002,Professional School
002003003,Preschool
002004001,Primary
002004002,Lower Secondary
002004003,Primary
002005001,Upper Secondary
002005002,Upper Secondary
002005003,Upper Secondary
002005004,College/University and above
002005005,Primary
002006001,Upper Secondary
002006002,Upper Secondary
002006003,College/University and above
002006004,Lower Secondary
002006005,Primary
002007001,Upper Secondary
002007002,College/University and above
002007003,College/University and above
002007004,College/University and above
002007005,Primary
002007006,
002008001,Lower Secondary
002008002,Lower Secondary
002008003,Preschool
002008004,
002009001,Lower Secondary
002009002,Upper Secondary
002009003,Upper Secondary
002009004,Primary
002009005,Primary
002010001,Upper Secondary
002010002,Primary
002010003,Lower Secondary
002010004,Primary
002011001,Lower Secondary
002011002,College/University and above
002011003,Upper Secondary
002011004,Primary
002011005,
002012001,Lower Secondary
002012002,Lower Secondary
002012003,Lower Secondary
002013001,Lower Secondary
002013002,Primary
002013003,Upper Secondary
002013004,Upper Secondary
002013005,
002014001,Upper Secondary
002014002,Professional School
002014003,Upper Secondary
002014004,DK
002014005,Upper Secondary
002014006,Upper Secondary
002014007,Preschool
002014008,
002014009,
002015001,Primary
002015002,Lower Secondary
002015003,Upper Secondary
002016001,Primary
002016002,Primary
002017001,Lower Secondary
002017002,Lower Secondary
002017003,Lower Secondary
002017004,Primary
002017005,Primary
002017006,Primary
002017007,Preschool
002017008,Lower Secondary
002017009,Primary
002018001,Upper Secondary
002018002,Lower Secondary
002018003,Professional School
002018004,College/University and above
002018005,Upper Secondary
002018006,
002018007,
002019001,Lower Secondary
002019002,Lower Secondary
002019003,College/University and above
002019004,Upper Secondary
003001001,College/University and above
003001002,Lower Secondary
003001003,College/University and above
003001004,College/University and above
003001005,College/University and above
003002001,College/University and above
003002002,College/University and above
003002003,Upper Secondary
003002004,Lower Secondary
003003001,Upper Secondary
003003002,Professional School
003003003,College/University and above
003004001,Lower Secondary
003004002,Professional School
003004003,Upper Secondary
003004004,College/University and above
003004005,Primary
003005001,Lower Secondary
003005002,Lower Secondary
003005003,College/University and above
003005004,Primary
003006001,College/University and above
003006002,Lower Secondary
003006003,Lower Secondary
003006004,Primary
003007001,Upper Secondary
003007002,Upper Secondary
003007003,Primary
003008001,College/University and above
003008002,Primary
003008003,College/University and above
003008004,Upper Secondary
003008005,Upper Secondary
003009001,Upper Secondary
003009002,College/University and above
003009003,Upper Secondary
003009004,Lower Secondary
003010001,Upper Secondary
003010002,Upper Secondary
003010003,Lower Secondary
003010004,Primary
003011001,College/University and above
003011002,Upper Secondary
003011003,College/University and above
003012001,Upper Secondary
003013001,College/University and above
003013002,College/University and above
003014001,Lower Secondary
003014002,Upper Secondary
003014003,Lower Secondary
003014004,Upper Secondary
003014005,
003015001,Lower Secondary
003015002,Lower Secondary
003015003,College/University and above
003015004,Upper Secondary
003016001,Lower Secondary
003016002,Lower Secondary
003016003,Upper Secondary
003016004,Upper Secondary
003016005,Primary
003016006,
003017001,Lower Secondary
003017002,Lower Secondary
003017003,Lower Secondary
003018001,Upper Secondary
003018002,Professional School
003018003,College/University and above
003018004,Professional School
003019001,Lower Secondary
003019002,Lower Secondary
003019003,Lower Secondary
003020001,College/University and above
003020002,College/University and above
003020003,College/University and above
003020004,Lower Secondary
003020005,Lower Secondary
003020006,Lower Secondary
004001001,College/University and above
004002001,Lower Secondary
004003001,Upper Secondary
004003002,Primary
004004001,Primary
004004002,College/University and above
004005001,Lower Secondary
004006001,Professional School
004006002,College/University and above
004006003,Upper Secondary
004006004,College/University and above
004007001,Lower Secondary
004007002,Lower Secondary
004007003,Lower Secondary
004008001,Upper Secondary
004008002,College/University and above
004008003,Upper Secondary
004009001,College/University and above
004009002,Professional School
004009003,College/University and above
004009004,Lower Secondary
004010001,Upper Secondary
004010002,Lower Secondary
004010003,College/University and above
004010004,Professional School
004011001,Lower Secondary
004011002,Professional School
004011003,Professional School
004012001,Lower Secondary
004012002,Upper Secondary
004012003,College/University and above
004012004,Professional School
004013001,Upper Secondary
004013002,Lower Secondary
