HHID,ethnicity_hh
001001,Kinh and Hoa
001002,Kinh and Hoa
001003,Kinh and Hoa
001004,Kinh and Hoa
001005,Kinh and Hoa
001006,
001007,Kinh and Hoa
001008,Kinh and Hoa
001009,Kinh and Hoa
001010,Kinh and Hoa
001011,Kinh and Hoa
001012,Kinh and Hoa
001013,Kinh and Hoa
001014,
001015,Kinh and Hoa
001016,Kinh and Hoa
001017,Kinh and Hoa
001018,Kinh and Hoa
001019,Kinh and Hoa
001020,Kinh and Hoa
002001,Kinh and Hoa
002002,Kinh and Hoa
002003,Kinh and Hoa
002004,Kinh and Hoa
002005,Kinh and Hoa
002006,Kinh and Hoa
002007,Kinh and Hoa
002008,Kinh and Hoa
002009,Kinh and Hoa
002010,
002011,Kinh and Hoa
002012,Kinh and Hoa
002013,Kinh and Hoa
002014,Kinh and Hoa
002015,Kinh and Hoa
002016,Kinh and Hoa
002017,Kinh and Hoa
002018,Kinh and Hoa
002019,Kinh and Hoa
002020,Kinh and Hoa
003001,
003002,
003003,Kinh and Hoa
003004,Kinh and Hoa
003005,Kinh and Hoa
003006,Kinh and Hoa
003007,Kinh and Hoa
003008,Kinh and Hoa
003009,Kinh and Hoa
003010,Kinh and Hoa
003011,Kinh and Hoa
003012,Kinh and Hoa
003013,Kinh and Hoa
003014,Kinh and Hoa
003015,Kinh and Hoa
003016,Kinh and Hoa
003017,Kinh and Hoa
003018,Kinh and Hoa
003019,Kinh and Hoa
003020,
004001,Kinh and Hoa
004002,Kinh and Hoa
004003,Kinh and Hoa
004004,Kinh and Hoa
004005,Kinh and Hoa
004006,Kinh and Hoa
004007,Kinh and Hoa
004008,Kinh and Hoa
004009,Kinh and Hoa
004010,Kinh and Hoa
004011,
004012,Kinh and Hoa
004013,
004014,Kinh and Hoa
004015,Kinh and Hoa
004016,Kinh and Hoa
004017,Kinh and Hoa
004018,
004019,Kinh and Hoa
004020,Kinh and Hoa
005001,Kinh and Hoa
005002,Kinh and Hoa
005003,Kinh and Hoa
005004,
005005,Kinh and Hoa
005006,
005007,
005008,Kinh and Hoa
005009,Kinh and Hoa
005010,Kinh and Hoa
005011,Kinh and Hoa
005012,
005013,Kinh and Hoa
005014,Kinh and Hoa
005015,
005016,Kinh and Hoa
005017,
005018,Kinh and Hoa
005019,Kinh and Hoa
005020,Kinh and Hoa
006001,Kinh and Hoa
006002,Kinh and Hoa
006003,Kinh and Hoa
006004,Kinh and Hoa
006005,Kinh and Hoa
006006,Kinh and Hoa
006007,Kinh and Hoa
006008,Kinh and Hoa
006009,Kinh and Hoa
006010,Kinh and Hoa
006011,Kinh and Hoa
006012,Kinh and Hoa
006013,Kinh and Hoa
006014,Kinh and Hoa
006015,Kinh and Hoa
006016,Kinh and Hoa
006017,Kinh and Hoa
006018,Kinh and Hoa
006019,Kinh and Hoa
006020,
007001,Kinh and Hoa
007002,Kinh and Hoa
007003,Kinh and Hoa
007004,Kinh and Hoa
007005,Kinh and Hoa
007006,Kinh and Hoa
007007,Kinh and Hoa
007008,Kinh and Hoa
007009,Kinh and Hoa
007010,Kinh and Hoa
007011,Kinh and Hoa
007012,Kinh and Hoa
007013,Kinh and Hoa
007014,Kinh and Hoa
007015,Kinh and Hoa
007016,
007017,Kinh and Hoa
007018,Kinh and Hoa
007019,Kinh and Hoa
007020,
008001,Kinh and Hoa
008002,
008003,Kinh and Hoa
008004,Kinh and Hoa
008005,Kinh and Hoa
008006,Kinh and Hoa
008007,
008008,Kinh and Hoa
008009,Kinh and Hoa
008010,Kinh and Hoa
008011,Kinh and Hoa
008012,Kinh and Hoa
008013,Kinh and Hoa
008014,Kinh and Hoa
008015,Kinh and Hoa
008016,Kinh and Hoa
008017,
008018,Kinh and Hoa
008019,Kinh and Hoa
008020,
009001,Kinh and Hoa
009002,Kinh and Hoa
009003,
009004,Kinh and Hoa
009005,Kinh and Hoa
009006,Kinh and Hoa
009007,Kinh and Hoa
009008,Kinh and Hoa
009009,Kinh and Hoa
009010,
009011,Kinh and Hoa
009012,Kinh and Hoa
009013,Kinh and Hoa
009014,Kinh and Hoa
