HHID,HHAGE,HHSEX
001001,74.0,Female
001002,63.0,Male
001003,61.0,Male
001004,54.0,Female
001005,68.0,Female
001007,63.0,Female
001008,72.0,Female
001009,54.0,Female
001010,68.0,Male
001011,77.0,Male
001012,46.0,Male
001013,64.0,Male
001015,60.0,Male
001016,87.0,Male
001017,72.0,Male
001018,50.0,Male
001019,60.0,Female
001020,72.0,Female
002001,49.0,Female
002002,36.0,Male
002003,45.0,Male
002004,71.0,Male
002005,83.0,Female
002006,41.0,Female
002007,44.0,Male
002008,59.0,Male
002009,46.0,Male
002011,61.0,Male
002012,68.0,Male
002013,76.0,Male
002014,73.0,Male
002015,55.0,Male
002016,62.0,Female
002017,54.0,Female
002018,60.0,Female
002019,57.0,Female
002020,36.0,Female
003003,51.0,Male
003004,61.0,Female
003005,59.0,Female
003006,57.0,Female
003007,68.0,Female
003008,46.0,Female
003009,59.0,Female
003010,58.0,Male
003011,30.0,Male
003012,44.0,Male
003013,87.0,Female
003014,61.0,Female
003015,56.0,Male
003016,50.0,Male
003017,52.0,Female
003018,59.0,Male
003019,47.0,Male
004001,71.0,Female
004002,63.0,Female
004003,41.0,Male
004004,56.0,Female
004005,56.0,Male
004006,46.0,Male
004007,52.0,Female
004008,61.0,Male
004009,61.0,Male
004010,61.0,Male
004012,58.0,Male
004014,56.0,Male
004015,69.0,Female
004016,41.0,Male
004017,36.0,Male
004019,40.0,Male
004020,39.0,Male
005001,78.0,Male
005002,54.0,Male
005003,62.0,Male
005005,48.0,Male
005008,63.0,Male
005009,42.0,Male
005010,68.0,Female
005011,70.0,Male
005013,57.0,Female
005014,39.0,Male
005016,39.0,Female
005018,35.0,Female
005019,36.0,Female
005020,70.0,Male
006001,59.0,Male
006002,57.0,Male
006003,40.0,Female
006004,60.0,Female
006005,37.0,Male
006006,55.0,Male
006007,59.0,Male
006008,47.0,Male
006009,55.0,Male
006010,28.0,Male
006011,50.0,Male
006012,66.0,Female
006013,54.0,Male
006014,65.0,Male
006015,60.0,Male
006016,52.0,Male
006017,54.0,Male
006018,56.0,Female
006019,72.0,Female
007001,30.0,Male
007002,59.0,Male
007003,84.0,Male
007004,47.0,Female
007005,47.0,Male
007006,82.0,Male
007007,25.0,Female
007008,44.0,Male
007009,62.0,Female
007010,42.0,Male
007011,90.0,Male
007012,52.0,Male
007013,41.0,Male
007014,41.0,Male
007015,76.0,Female
007017,57.0,Male
007018,29.0,Male
007019,78.0,Male
008001,43.0,Male
008003,46.0,Male
008004,32.0,Female
008005,29.0,Male
008006,34.0,Female
008008,59.0,Female
008009,45.0,Male
008010,37.0,Male
008011,65.0,Male
008012,41.0,Male
008013,37.0,Male
008014,60.0,Male
008015,60.0,Male
008016,34.0,Male
008018,45.0,Male
008019,42.0,Male
009001,39.0,Male
009002,52.0,Male
009004,35.0,Male
009005,70.0,Male
009006,37.0,Male
009007,38.0,Male
009008,31.0,Male
009009,39.0,Male
009011,39.0,Female
009012,42.0,Male
009013,45.0,Male
009014,64.0,Male
009015,40.0,Male
009016,34.0,Male
009017,29.0,Female
009019,39.0,Male
010001,57.0,Male
010002,57.0,Female
010003,55.0,Male
010004,55.0,Male
010005,69.0,Female
010006,72.0,Male
010007,20.0,Female
010008,18.0,Female
010009,41.0,Male
010010,76.0,Male
010011,71.0,Male
010012,62.0,Female
010013,18.0,Female
010014,39.0,Male
010015,69.0,Male
010016,67.0,Female
010017,60.0,Male
010018,19.0,Female
010019,18.0,Male
010020,18.0,Female
011001,54.0,Female
011002,70.0,Female
011003,88.0,Female
011004,70.0,Female
011005,69.0,Female
011006,74.0,Male
011007,43.0,Male
011008,62.0,Male
011009,55.0,Female
011010,54.0,Female
011011,66.0,Female
011012,40.0,Male
011015,52.0,Male
011016,43.0,Male
011018,62.0,Male
011020,68.0,Female
012001,59.0,Male
012002,48.0,Male
012003,62.0,Male
