Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,formula_times,other_milk_times,yogurt_times,solid_semi_soft_times,mmf_bf_68,mmf_bf_923,solid_semi_soft_milk_times,mmf_nbf_623,mmf_ch,chweight
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,3.0,1.0,3.0,0,100,100,0,100.0,0.5747873356020416
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,0,0,100,,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0.0,0.5747873356020416
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,3.0,0,0,100,0,,0.5747873356020416
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,2.0,0.0,2.0,0,0,100,0,0.0,1.3579350803598234
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,100,0,100,,,3.0,0.0,0.0,0.0,0,0,0,0,0.0,1.3579350803598234
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,2.0,0,0,100,0,,1.3579350803598234
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,3.0,0,0,100,0,,1.3579350803598234
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,3.0,0,0,100,0,,1.3579350803598234
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,2.0,0.0,1.0,2.0,0,0,100,0,0.0,1.3579350803598234
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,2.0,1.0,3.0,0,100,100,0,100.0,1.3579350803598234
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,100,0,0,,,0.0,2.0,1.0,3.0,0,0,100,0,,1.3579350803598234
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,2.0,0,0,100,0,,0.9196597369632666
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,3.0,0,0,100,0,,0.9196597369632666
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,0.0,4.0,1.0,0.0,0,0,100,0,0.0,1.4657077057852061
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,3.0,0,0,100,0,,1.4657077057852061
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Secondary,0,0,100,0,100,100,0,0,,,2.0,2.0,1.0,3.0,0,100,100,0,100.0,1.4657077057852061
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,1.0,0,0,100,0,,1.4657077057852061
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,2.0,1.0,1.0,0,0,100,0,0.0,1.4657077057852061
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,1.0,1.0,0,0,0,0,,1.4657077057852061
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,3.0,0,0,100,0,,1.4657077057852061
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,6.0,0.0,0.0,0.0,0,0,100,0,,1.4657077057852061
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,2.0,0,0,100,0,,1.4657077057852061
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,2.0,0,0,100,0,,1.4657077057852061
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,100,,100.0,0.0,3.0,0.0,0.0,0,0,0,0,0.0,1.4657077057852061
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,4.0,0,0,100,0,,2.378182601053447
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,4.0,0,0,100,0,,2.378182601053447
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,0.0,3.0,0.0,5.0,0,0,100,100,100.0,2.378182601053447
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,100,0,0,100,0,0,0,,,5.0,0.0,0.0,2.0,0,0,100,100,100.0,2.378182601053447
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,4.0,0.0,2.0,0,0,100,0,,2.378182601053447
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,4.0,0,0,100,0,,2.378182601053447
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,3.0,1.0,5.0,0,0,100,0,,2.378182601053447
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,1.0,0.0,2.0,0,0,0,0,,2.378182601053447
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,100,0,100,100,0,0,,,4.0,0.0,1.0,2.0,0,0,100,0,0.0,2.378182601053447
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,0.0,2.0,0,0,100,0,,2.378182601053447
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,100,0,0,0,0,100,0,100,0.0,,1.0,0.0,0.0,0.0,0,0,0,0,,2.378182601053447
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,3.0,0,0,100,0,,2.0333101996922225
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,3.0,0.0,4.0,0,0,100,0,,2.0333101996922225
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,4.0,0.0,1.0,2.0,0,0,100,100,100.0,2.0333101996922225
Total,2011,Urban,Red River Delta,Rich,Kinh and Hoa,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,0,0,0,0,0,0,0,0,,,0.0,0.0,1.0,2.0,0,0,0,0,,2.0333101996922225
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,0,0,100,100,100,100,0,0,,100.0,0.0,2.0,0.0,3.0,0,100,100,0,100.0,2.0333101996922225
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,3.0,0,0,100,0,,1.322010871884696
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,4.0,0.0,0.0,3.0,0,0,100,100,100.0,1.322010871884696
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,0.0,1.0,1.0,4.0,0,0,100,100,100.0,1.322010871884696
Total,2011,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Higher,0,0,0,0,0,0,0,0,,,0.0,2.0,1.0,0.0,0,0,0,0,,1.322010871884696
