Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,sex_ch,mother_edu,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,grains,legumes,dairy,flesh,eggs,vitaminA,other,mdd_ch,formula_times,other_milk_times,yogurt_times,solid_semi_soft_times,mmf_bf_68,mmf_bf_923,solid_semi_soft_milk_times,mmf_nbf_623,mmf_ch,mad_bf_623,milk_feeds_2,mad_nbf_623,mad_ch,chweight
Total,2021,Urban,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Female,Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9395684288408933
Total,2021,Urban,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9996107352947529
Total,2021,Urban,Red River Delta,Poor,Kinh and Hoa,Elderly HoH: NO,Female,Female,Mother Edu: Secondary,0,0,0,0,0,100,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9996107352947529
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9395684288408933
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Male,Mother Edu: Secondary,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9395684288408933
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Higher,0,0,100,100,100,0,0,0,,0.0,100,0,100,100,0,100,100,100.0,4.0,0.0,2.0,2.0,0,0,100,100,100.0,0,100,100,100.0,0.9996107352947529
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9395684288408933
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Female,Male,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.9395684288408933
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Male,Mother Edu: Secondary,100,0,0,0,0,100,100,100,100.0,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,1.083748039068722
Total,2021,Urban,Red River Delta,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Female,Mother Edu: Higher,0,0,0,0,0,0,100,100,,,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,,0.8753653331677212
